code,stockCode,name,marketId,firstType,secondType,decimalDigits,pyjc,openDate,closeDate,modifyDate
10000159,,沪股通,1,1,0,2,HGT,1415754017000,,1415754017000
10000855,,央视500,1,1,0,2,YS500,1415667618000,,1415667618000
10000852,,中证1000,1,1,0,2,ZZ1000,1411693217000,,1411693217000
10000851,,百发100,1,1,0,2,BF100,1409187658000,,1409187658000
10000850,,300有色,1,1,0,2,300YS,1400461823000,,1400461823000
10000849,,300非银,1,1,0,2,300FY,1400461823000,,1400461823000
10000847,,中证腾安,1,1,0,2,ZZTA,1396229101000,,1396229101000
10000976,,新华金牛,1,1,0,2,XHJN,1390439446000,,1390439446000
10000975,,钱江30,1,1,0,2,QJ30,1387761009000,,1387761009000
10000958,,创业成长,1,1,0,2,CYCZ,1350265070000,,1376313098000
10000918,,300成长,1,1,0,2,300CZ,1350265070000,,1376313098000
10000920,,300R成长,1,1,0,2,300RCZ,1350265070000,,1376313098000
10000057,,全指成长,1,1,0,2,QZCZ,1350265069000,,1376313098000
10000059,,全R成长,1,1,0,2,QRCZ,1350265069000,,1376313098000
10000030,,180R成长,1,1,0,2,180RCZ,1350265069000,,1376313098000
10000028,,180成长,1,1,0,2,180CZ,1350265069000,,1376313098000
10000117,,380成长,1,1,0,2,380CZ,1350265068000,,1376313097000
10000119,,380R成长,1,1,0,2,380RCZ,1350265068000,,1376313097000
10000974,,800金融,1,1,0,2,800JR,1375665038000,,1375665038000
10000823,,800有色,1,1,0,2,800YS,1375665038000,,1375665038000
10000101,,5年信用,1,1,0,2,5NXY,1363569019000,,1363569019000
10000116,,信用100,1,1,0,2,XY100,1360026640000,,1360026640000
10000141,,380动态,1,1,0,2,380DT,1359076238000,,1359076238000
10000142,,380稳定,1,1,0,2,380WD,1359076238000,,1359076238000
10000123,,180动态,1,1,0,2,180DT,1359076238000,,1359076238000
10000125,,180稳定,1,1,0,2,180WD,1359076238000,,1359076238000
10000843,,300动态,1,1,0,2,300DT,1355879416000,,1355879416000
10000844,,300稳定,1,1,0,2,300WD,1355879416000,,1355879416000
10000841,,800医药,1,1,0,2,800YY,1354842649000,,1354842649000
10000842,,800等权,1,1,0,2,800DQ,1354842649000,,1354842649000
10000839,,浙企综指,1,1,0,2,ZQZZ,1351213822000,,1351213822000
10000840,,浙江民企,1,1,0,2,ZJMQ,1351213822000,,1351213822000
10000999,,两岸三地,1,1,0,2,LASD,1350265070000,,1350437100000
10000994,,全指电信,1,1,0,2,QZDX,1350265070000,,1350437100000
10000993,,全指信息,1,1,0,2,QZXX,1350265070000,,1350437100000
10000992,,全指金融,1,1,0,2,QZJR,1350265070000,,1350437100000
10000991,,全指医药,1,1,0,2,QZYY,1350265070000,,1350437100000
10000998,,中证TMT,1,1,0,2,ZZTMT,1350265070000,,1350437100000
10000997,,大消费,1,1,0,2,DXF,1350265070000,,1350437100000
10000996,,领先行业,1,1,0,2,LXHY,1350265070000,,1350437100000
10000995,,全指公用,1,1,0,2,QZGY,1350265070000,,1350437100000
10000979,,大宗商品,1,1,0,2,DZSP,1350265070000,,1350437100000
10000978,,医药100,1,1,0,2,YY100,1350265070000,,1350437100000
10000977,,内地低碳,1,1,0,2,NDDT,1350265070000,,1350437100000
10000973,,技术领先,1,1,0,2,JSLX,1350265070000,,1350437100000
10000972,,300沪市,1,1,0,2,300HS,1350265070000,,1350437100000
10000971,,等权90,1,1,0,2,DQ90,1350265070000,,1350437100000
10000970,,ESG 40,1,1,0,2,ESG40,1350265070000,,1350437100000
10000990,,全指消费,1,1,0,2,QZXF,1350265070000,,1350437100000
10000989,,全指可选,1,1,0,2,QZKX,1350265070000,,1350437100000
10000988,,全指工业,1,1,0,2,QZGY,1350265070000,,1350437100000
10000985,,中证全指,1,1,0,2,ZZQZ,1350265070000,,1350437100000
10000984,,300等权,1,1,0,2,300DQ,1350265070000,,1350437100000
10000987,,全指材料,1,1,0,2,QZCL,1350265070000,,1350437100000
10000986,,全指能源,1,1,0,2,QZNY,1350265070000,,1350437100000
10000981,,300分层,1,1,0,2,300FC,1350265070000,,1350437100000
10000980,,中证超大,1,1,0,2,ZZCD,1350265070000,,1350437100000
10000983,,智能资产,1,1,0,2,ZNZC,1350265070000,,1350437100000
10000982,,500等权,1,1,0,2,500DQ,1350265070000,,1350437100000
10000950,,300基建,1,1,0,2,300JJ,1350265070000,,1350437100000
10000953,,中证地企,1,1,0,2,ZZDQ,1350265070000,,1350437100000
10000954,,地企100,1,1,0,2,DQ100,1350265070000,,1350437100000
10000951,,300银行,1,1,0,2,300YH,1350265070000,,1350437100000
10000952,,300地产,1,1,0,2,300DC,1350265070000,,1350437100000
10000957,,300运输,1,1,0,2,300YS,1350265070000,,1350437100000
10000955,,中证国企,1,1,0,2,ZZGQ,1350265070000,,1350437100000
10000956,,国企200,1,1,0,2,GQ200,1350265070000,,1350437100000
10000959,,银河99,1,1,0,2,YH99,1350265070000,,1350437100000
10000960,,中证龙头,1,1,0,2,ZZLT,1350265070000,,1350437100000
10000961,,中证上游,1,1,0,2,ZZSY,1350265070000,,1350437100000
10000962,,中证中游,1,1,0,2,ZZZY,1350265070000,,1350437100000
10000963,,中证下游,1,1,0,2,ZZXY,1350265070000,,1350437100000
10000964,,中证新兴,1,1,0,2,ZZXX,1350265070000,,1350437100000
10000965,,基本200,1,1,0,2,JB200,1350265070000,,1350437100000
10000966,,基本400,1,1,0,2,JB400,1350265070000,,1350437100000
10000967,,基本600,1,1,0,2,JB600,1350265070000,,1350437100000
10000968,,300周期,1,1,0,2,300ZQ,1350265070000,,1350437100000
10000969,,300非周,1,1,0,2,300FZ,1350265070000,,1350437100000
10000931,,中证可选,1,1,0,2,ZZKX,1350265070000,,1350437100000
10000932,,中证消费,1,1,0,2,ZZXF,1350265070000,,1350437100000
10000930,,中证工业,1,1,0,2,ZZGY,1350265070000,,1350437100000
10000939,,民企200,1,1,0,2,MQ200,1350265070000,,1350437100000
10000937,,中证公用,1,1,0,2,ZZGY,1350265070000,,1350437100000
10000938,,中证民企,1,1,0,2,ZZMQ,1350265070000,,1350437100000
10000935,,中证信息,1,1,0,2,ZZXX,1350265070000,,1350437100000
10000936,,中证电信,1,1,0,2,ZZDX,1350265070000,,1350437100000
10000933,,中证医药,1,1,0,2,ZZYY,1350265070000,,1350437100000
10000934,,中证金融,1,1,0,2,ZZJR,1350265070000,,1350437100000
10000940,,财富大盘,1,1,0,2,CFDP,1350265070000,,1350437100000
10000941,,新能源,1,1,0,2,XNY,1350265070000,,1350437100000
10000942,,内地消费,1,1,0,2,NDXF,1350265070000,,1350437100000
10000943,,内地基建,1,1,0,2,NDJJ,1350265070000,,1350437100000
10000948,,内地地产,1,1,0,2,NDDC,1350265070000,,1350437100000
10000949,,内地农业,1,1,0,2,NDNY,1350265070000,,1350437100000
10000944,,内地资源,1,1,0,2,NDZY,1350265070000,,1350437100000
10000945,,内地运输,1,1,0,2,NDYS,1350265070000,,1350437100000
10000946,,内地金融,1,1,0,2,NDJR,1350265070000,,1350437100000
10000947,,内地银行,1,1,0,2,NDYH,1350265070000,,1350437100000
10000912,,300消费,1,1,0,2,300XF,1350265070000,,1350437100000
10000911,,300可选,1,1,0,2,300KX,1350265070000,,1350437100000
10000914,,300金融,1,1,0,2,300JR,1350265070000,,1350437100000
10000913,,300医药,1,1,0,2,300YY,1350265070000,,1350437100000
10000916,,300电信,1,1,0,2,300DX,1350265070000,,1350437100000
10000915,,300信息,1,1,0,2,300XX,1350265070000,,1350437100000
10000917,,300公用,1,1,0,2,300GY,1350265070000,,1350437100000
10000910,,300工业,1,1,0,2,300GY,1350265070000,,1350437100000
10000919,,300价值,1,1,0,2,300JZ,1350265070000,,1350437100000
10000925,,基本面50,1,1,0,2,JBM50,1350265070000,,1350437100000
10000924,,分离债,1,1,0,2,FLZ,1350265070000,,1350437100000
10000923,,公司债,1,1,0,2,GSZ,1350265070000,,1350437100000
10000922,,中证红利,1,1,0,2,ZZHL,1350265070000,,1350437100000
10000929,,中证材料,1,1,0,2,ZZCL,1350265070000,,1350437100000
10000928,,中证能源,1,1,0,2,ZZNY,1350265070000,,1350437100000
10000927,,央企100,1,1,0,2,YQ100,1350265070000,,1350437100000
10000926,,中证央企,1,1,0,2,ZZYQ,1350265070000,,1350437100000
10000921,,300R价值,1,1,0,2,300RJZ,1350265070000,,1350437100000
10000907,,中证700,1,1,0,2,ZZ700,1350265070000,,1350437100000
10000906,,中证800,1,1,0,2,ZZ800,1350265070000,,1350437100000
10000905,,中证500,1,1,0,2,ZZ500,1350265070000,,1350437100000
10000904,,中证200,1,1,0,2,ZZ200,1350265070000,,1350437100000
10000903,,中证100,1,1,0,2,ZZ100,1350265070000,,1350437100000
10000902,,中证流通,1,1,0,2,ZZLT,1350265070000,,1350437100000
10000901,,小康指数,1,1,0,2,XKZS,1350265070000,,1350437100000
10000908,,300能源,1,1,0,2,300NY,1350265070000,,1350437100000
10000909,,300材料,1,1,0,2,300CL,1350265070000,,1350437100000
10000818,,细分金融,1,1,0,2,XFJR,1350265068000,,1350437100000
10000819,,有色金属,1,1,0,2,YSJS,1350265068000,,1350437100000
10000816,,细分地产,1,1,0,2,XFDC,1350265068000,,1350437100000
10000817,,兴证海峡,1,1,0,2,XZHX,1350265068000,,1350437100000
10000814,,细分医药,1,1,0,2,XFYY,1350265068000,,1350437100000
10000815,,细分食品,1,1,0,2,XFSP,1350265068000,,1350437100000
10000812,,细分机械,1,1,0,2,XFJX,1350265068000,,1350437100000
10000813,,细分化工,1,1,0,2,XFHG,1350265068000,,1350437100000
10000810,,细分能源,1,1,0,2,XFNY,1350265068000,,1350437100000
10000811,,细分有色,1,1,0,2,XFYS,1350265068000,,1350437100000
10000827,,中证环保,1,1,0,2,ZZHB,1350265068000,,1350437100000
10000828,,300高贝,1,1,0,2,300GB,1350265068000,,1350437100000
10000829,,300低贝,1,1,0,2,300DB,1350265068000,,1350437100000
10000824,,国企红利,1,1,0,2,GQHL,1350265068000,,1350437100000
10000825,,央企红利,1,1,0,2,YQHL,1350265068000,,1350437100000
10000826,,民企红利,1,1,0,2,MQHL,1350265068000,,1350437100000
10000820,,煤炭指数,1,1,0,2,MTZS,1350265068000,,1350437100000
10000821,,300红利,1,1,0,2,300HL,1350265068000,,1350437100000
10000822,,500红利,1,1,0,2,500HL,1350265068000,,1350437100000
10000838,,创业价值,1,1,0,2,CYJZ,1350265068000,,1350437100000
10000832,,中证转债,1,1,0,2,ZZZZ,1350265068000,,1350437100000
10000833,,中高企债,1,1,0,2,ZGQZ,1350265068000,,1350437100000
10000830,,500高贝,1,1,0,2,500GB,1350265068000,,1350437100000
10000831,,500低贝,1,1,0,2,500DB,1350265068000,,1350437100000
10000846,,ESG 100,1,1,0,2,ESG100,1350265068000,,1350437100000
10000804,,500波动,1,1,0,2,500BD,1350265068000,,1350437100000
10000803,,300波动,1,1,0,2,300BD,1350265068000,,1350437100000
10000802,,500沪市,1,1,0,2,500HS,1350265068000,,1350437100000
10000801,,资源80,1,1,0,2,ZY80,1350265068000,,1350437100000
10000808,,医药生物,1,1,0,2,YYSW,1350265068000,,1350437100000
10000807,,食品饮料,1,1,0,2,SPYL,1350265068000,,1350437100000
10000806,,消费服务,1,1,0,2,XFFW,1350265068000,,1350437100000
10000805,,A股资源,1,1,0,2,AGZY,1350265068000,,1350437100000
10000809,,细分农业,1,1,0,2,XFNY,1350265068000,,1350437100000
10000155,,市值百强,1,1,0,2,SZBQ,1350265068000,,1350437100000
10000158,,上证环保,1,1,0,2,SZHB,1350265068000,,1350437100000
10000146,,优势制造,1,1,0,2,YSZZ,1350265068000,,1350437100000
10000147,,优势消费,1,1,0,2,YSXF,1350265068000,,1350437100000
10000145,,优势资源,1,1,0,2,YSZY,1350265068000,,1350437100000
10000148,,消费领先,1,1,0,2,XFLX,1350265068000,,1350437100000
10000149,,180红利,1,1,0,2,180HL,1350265068000,,1350437100000
10000150,,380红利,1,1,0,2,380HL,1350265068000,,1350437100000
10000153,,上民红利,1,1,0,2,SMHL,1350265068000,,1350437100000
10000152,,上央红利,1,1,0,2,SYHL,1350265068000,,1350437100000
10000151,,上国红利,1,1,0,2,SGHL,1350265068000,,1350437100000
10000133,,上证150,1,1,0,2,SZ150,1350265068000,,1350437100000
10000134,,上证银行,1,1,0,2,SZYH,1350265068000,,1350437100000
10000135,,180高贝,1,1,0,2,180GB,1350265068000,,1350437100000
10000136,,180低贝,1,1,0,2,180DB,1350265068000,,1350437100000
10000137,,380高贝,1,1,0,2,380GB,1350265068000,,1350437100000
10000138,,380低贝,1,1,0,2,380DB,1350265068000,,1350437100000
10000139,,上证转债,1,1,0,2,SZZZ,1350265068000,,1350437100000
10000130,,380波动,1,1,0,2,380BD,1350265068000,,1350437100000
10000131,,上证高新,1,1,0,2,SZGX,1350265068000,,1350437100000
10000132,,上证100,1,1,0,2,SZ100,1350265068000,,1350437100000
10000126,,消费50,1,1,0,2,XF50,1350265068000,,1350437100000
10000129,,180波动,1,1,0,2,180BD,1350265068000,,1350437100000
10000128,,380基本,1,1,0,2,380JB,1350265068000,,1350437100000
10000122,,农业主题,1,1,0,2,NYZT,1350265068000,,1350437100000
10000120,,380R价值,1,1,0,2,380RJZ,1350265068000,,1350437100000
10000121,,医药主题,1,1,0,2,YYZT,1350265068000,,1350437100000
10000118,,380价值,1,1,0,2,380JZ,1350265068000,,1350437100000
10000115,,380等权,1,1,0,2,380DQ,1350265068000,,1350437100000
